Ticker,username,Name,Industry,Total ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score
KMB,kccorp,Kimberly-Clark Corporation (KMB),Consumer Staples,22,8,7,7
KIM,kimcorealty,Kimco Realty Corporation (KIM),Real Estate,14,4,4,6
KMI,kinder_morgan,"Kinder Morgan, Inc. (KMI)",Energy,24,9,10,4
KLAC,klacorp,KLA Corporation (KLAC),Information Technology,20,7,7,6
KSS,kohlsnews,Kohl's Corporation (KSS),Consumer Discretionary,16,2,9,5
KHC,kraftheinzco,The Kraft Heinz Company (KHC),Consumer Staples,32,12,14,6
LB,l_brands,"L Brands, Inc. (LB)",Consumer Discretionary,16,2,7,6
LH,labcorp,Laboratory Corporation of America Holdings (LH),Health Care,19,1,11,8
LRCX,lamresearch,Lam Research Corporation (LRCX),Information Technology,17,4,6,6
LVS,lasvegassands,Las Vegas Sands Corp. (LVS),Consumer Discretionary,19,2,9,8
LEG,leggettandplatt,"Leggett & Platt, Incorporated (LEG)",Consumer Discretionary,36,11,16,9
LDOS,leidosinc,"Leidos Holdings, Inc. (LDOS)",Information Technology,20,1,13,7
LEN,lennar,Lennar Corporation (LEN),Consumer Discretionary,23,8,9,6
LLY,lillypad,Eli Lilly and Company (LLY),Health Care,34,2,20,13
LNC,lincolnfingroup,Lincoln National Corporation (LNC),Financials,23,2,10,12
LMT,lockheedmartin,Lockheed Martin Corporation (LMT),Industrials,31,7,16,7
L,lcareers,Loews Corporation (L),Financials,16,1,4,11
LOW,lowes,"Lowe's Companies, Inc. (LOW)",Consumer Discretionary,13,4,5,3
LYB,lyondellbasell,LyondellBasell Industries N.V. (LYB),Materials,26,16,3,7
MTB,mandt_bank,M&T Bank Corporation (MTB),Financials,28,2,13,12
MRO,marathonoil,Marathon Oil Corporation (MRO),Energy,43,24,11,9
MPC,marathonpetroco,Marathon Petroleum Corporation (MPC),Energy,39,23,9,6
MAR,marriottintl,"Marriott International, Inc. (MAR)",Consumer Discretionary,25,10,11,5
MLM,martinmarietta,"Martin Marietta Materials, Inc. (MLM)",Materials,33,19,5,9
MAS,mascolma,Masco Corporation (MAS),Industrials,21,11,4,6
MA,mastercard,Mastercard Incorporated (MA),Information Technology,17,0,8,9
MXIM,maximintegrated,"Maxim Integrated Products, Inc. (MXIM)",Information Technology,24,9,7,7
MKC,mccormickcorp,"McCormick & Company, Incorporated (MKC)",Consumer Staples,32,11,15,6
MCD,mcdonaldscorp,McDonald's Corporation (MCD),Consumer Discretionary,25,4,15,6
MCK,mckesson,McKesson Corporation (MCK),Health Care,20,2,12,6
MDT,medtronic,Medtronic plc (MDT),Health Care,27,2,14,10
MRK,merck,"Merck & Co., Inc. (MRK)",Health Care,28,2,15,11
MET,metlife,"MetLife, Inc. (MET)",Financials,23,1,11,12
MTD,mettlertoledo,Mettler-Toledo International Inc. (MTD),Health Care,12,1,6,6
MGM,mgmresortsintl,MGM Resorts International (MGM),Consumer Discretionary,25,2,11,12
MCHP,microchiptech,Microchip Technology Incorporated (MCHP),Information Technology,34,16,9,9
MU,microntech,"Micron Technology, Inc. (MU)",Information Technology,34,17,9,8
MSFT,microsoft,Microsoft Corporation (MSFT),Information Technology,16,0,10,5
MHK,mhkgreenworks,"Mohawk Industries, Inc. (MHK)",Consumer Discretionary,15,6,4,5
TAP,molsoncoors,Molson Coors Beverage Company (TAP),Consumer Staples,19,6,7,6
MDLZ,mdlz,"Mondelez International, Inc. (MDLZ)",Consumer Staples,26,10,11,6
MNST,monsterenergy,Monster Beverage Corporation (MNST),Consumer Staples,33,14,12,7
MCO,moodyscorp,Moody's Corporation (MCO),Financials,14,0,8,6
MS,morganstanley,Morgan Stanley (MS),Financials,24,1,13,9
MSI,motosolutions,"Motorola Solutions, Inc. (MSI)",Information Technology,15,1,8,5
MSCI,msci_inc,MSCI Inc. (MSCI),Financials,23,0,16,7
MYL,mylannews,"Mylan, Inc. (MYL)",Health Care,38,2,19,16
NDAQ,nasdaq,"Nasdaq, Inc. (NDAQ)",Financials,17,2,8,7
NOV,novglobal,"National Oilwell Varco, Inc. (NOV)",Energy,34,13,13,9
NTAP,netapp,"NetApp, Inc. (NTAP)",Information Technology,20,3,10,6
NWL,newell_brands,Newell Brands Inc. (NWL),Consumer Discretionary,15,6,5,4
NEM,newmontcorp,Newmont Corporation (NEM),Materials,24,10,9,5
NWSA,newscorp,News Corporation (NWSA),Communication Services,14,0,6,8
NEE,nexteraenergy,"NextEra Energy, Inc. (NEE)",Utilities,30,15,9,6
NLSN,nielsenir,Nielsen Holdings plc (NLSN),Industrials,23,0,16,7
NKE,nike,"NIKE, Inc. (NKE)",Consumer Discretionary,17,2,6,8
NI,nisourceinc,NiSource Inc. (NI),Utilities,32,15,10,7
NBL,,"Noble Energy, Inc. (NBL)",Energy,41,21,11,8
JWN,,"Nordstrom, Inc. (JWN)",Consumer Discretionary,15,2,8,5
NSC,,Norfolk Southern Corporation (NSC),Industrials,24,9,12,4
NTRS,,Northern Trust Corporation (NTRS),Financials,25,2,12,11
NLOK,,NortonLifeLock Inc. (NLOK),Information Technology,16,1,10,6
NCLH,,Norwegian Cruise Line Holdings Ltd. (NCLH),Consumer Discretionary,27,13,11,4
NRG,,"NRG Energy, Inc. (NRG)",Utilities,40,21,11,8
NUE,,Nucor Corporation (NUE),Materials,38,15,14,9
NVDA,,NVIDIA Corporation (NVDA),Information Technology,13,2,4,7
ORLY,,"O'Reilly Automotive, Inc. (ORLY)",Consumer Discretionary,13,0,9,4
OXY,,Occidental Petroleum Corporation (OXY),Energy,43,23,12,8
OKE,,"ONEOK, Inc. (OKE)",Energy,27,13,10,4
ORCL,,Oracle Corporation (ORCL),Information Technology,18,0,11,7
PCAR,,PACCAR Inc (PCAR),Industrials,35,8,17,10
PKG,,Packaging Corporation of America (PKG),Materials,19,13,2,4
PH,,Parker-Hannifin Corporation (PH),Industrials,30,7,15,8
PAYX,,"Paychex, Inc. (PAYX)",Information Technology,16,0,9,7
PYPL,,"PayPal Holdings, Inc. (PYPL)",Information Technology,19,0,12,8
PNR,,Pentair plc (PNR),Industrials,31,9,16,7
PBCT,,"People's United Financial, Inc. (PBCT)",Financials,27,3,13,11
PEP,,"PepsiCo, Inc. (PEP)",Consumer Staples,22,7,10,5
PKI,,"PerkinElmer, Inc. (PKI)",Health Care,21,2,13,7
PRGO,,Perrigo Company plc (PRGO),Health Care,41,3,24,13
PFE,,Pfizer Inc. (PFE),Health Care,33,2,18,13
PM,,Philip Morris International Inc. (PM),Consumer Staples,29,7,14,8
PSX,,Phillips 66 (PSX),Energy,31,19,7,5
PNW,,Pinnacle West Capital Corporation (PNW),Utilities,28,11,10,6
PXD,,Pioneer Natural Resources Company (PXD),Energy,45,23,13,9
PNC,,"The PNC Financial Services Group, Inc. (PNC)",Financials,20,2,10,8
PFG,,"Principal Financial Group, Inc. (PFG)",Financials,22,2,9,12
PGR,,The Progressive Corporation (PGR),Financials,25,2,9,13
PLD,,"Prologis, Inc. (PLD)",Real Estate,10,3,3,5
PRU,,"Prudential Financial, Inc. (PRU)",Financials,19,1,10,8
PEG,,Public Service Enterprise Group Incorporated (PEG),Utilities,29,14,10,5
PSA,,Public Storage (PSA),Real Estate,18,6,6,6
PHM,,"PulteGroup, Inc. (PHM)",Consumer Discretionary,22,8,9,5
PVH,,PVH Corp. (PVH),Consumer Discretionary,15,1,7,7
QRVO,,"Qorvo, Inc. (QRVO)",Information Technology,36,20,9,8
QCOM,,QUALCOMM Incorporated (QCOM),Information Technology,19,2,6,11
PWR,,"Quanta Services, Inc. (PWR)",Industrials,37,9,16,12
RL,,Ralph Lauren Corporation (RL),Consumer Discretionary,14,1,6,7
RJF,,"Raymond James Financial, Inc. (RJF)",Financials,29,2,13,15
O,,Realty Income Corporation (O),Real Estate,19,7,7,5
REG,,Regency Centers Corporation (REG),Real Estate,11,3,3,4
REGN,,"Regeneron Pharmaceuticals, Inc. (REGN)",Health Care,25,0,17,8
RF,,Regions Financial Corporation (RF),Financials,20,1,10,8
RMD,,ResMed Inc. (RMD),Health Care,28,4,12,11
RHI,,Robert Half International Inc. (RHI),Industrials,11,0,7,4
ROK,,"Rockwell Automation, Inc. (ROK)",Industrials,22,7,9,7
ROL,,"Rollins, Inc. (ROL)",Industrials,22,10,7,5
ROP,,"Roper Technologies, Inc. (ROP)",Industrials,21,1,14,6
ROST,,"Ross Stores, Inc. (ROST)",Consumer Discretionary,16,2,8,6
RCL,,Royal Caribbean Cruises Ltd. (RCL),Consumer Discretionary,23,10,9,4
SPGI,,S&P Global Inc. (SPGI),Financials,14,1,6,6
CRM,,"salesforce.com, inc. (CRM)",Information Technology,14,1,8,5
SLB,,Schlumberger Limited (SLB),Energy,24,10,7,7
STX,,Seagate Technology plc (STX),Information Technology,15,2,8,6
SEE,,Sealed Air Corporation (SEE),Materials,20,13,2,4
SRE,,Sempra Energy (SRE),Utilities,30,13,10,6
NOW,,"ServiceNow, Inc. (NOW)",Information Technology,22,2,14,7
SHW,,The Sherwin-Williams Company (SHW),Materials,31,13,11,6
SWKS,,"Skyworks Solutions, Inc. (SWKS)",Information Technology,32,15,9,9
SLG,,SL Green Realty Corp. (SLG),Real Estate,15,4,4,8
SNA,,Snap-on Incorporated (SNA),Industrials,32,11,13,8
SO,,The Southern Company (SO),Utilities,33,14,12,6
LUV,,Southwest Airlines Co. (LUV),Industrials,32,10,16,6
SWK,,"Stanley Black & Decker, Inc. (SWK)",Industrials,32,7,17,9
SBUX,,Starbucks Corporation (SBUX),Consumer Discretionary,21,3,13,5
STT,,State Street Corporation (STT),Financials,22,2,11,8
SYK,,Stryker Corporation (SYK),Health Care,37,4,20,12
SNPS,,"Synopsys, Inc. (SNPS)",Information Technology,20,1,13,6
SYY,,Sysco Corporation (SYY),Consumer Staples,13,2,6,5
