,Ticker,username,Name,Industry,Total ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,user_id
207,JNJ,jnjnews,Johnson & Johnson (JNJ),Health Care,35,1.0,22.0,11.0,20457806
208,JCI,johnsoncontrols,Johnson Controls International plc (JCI),Industrials,18,6.0,5.0,7.0,1280469980
209,JPM,jpmorgan,JPMorgan Chase & Co. (JPM),Financials,22,1.0,12.0,9.0,1155522630
210,JNPR,junipernetworks,"Juniper Networks, Inc. (JNPR)",Information Technology,16,0.0,8.0,8.0,14775374
211,K,kelloggcompany,Kellogg Company (K),Consumer Staples,26,7.0,14.0,5.0,454213077
212,KEY,keycorp,KeyCorp (KEY),Financials,25,2.0,12.0,11.0,16291692
213,KMB,kccorp,Kimberly-Clark Corporation (KMB),Consumer Staples,22,8.0,7.0,7.0,151233724
214,KIM,kimcorealty,Kimco Realty Corporation (KIM),Real Estate,14,4.0,4.0,6.0,122393786
215,KMI,kinder_morgan,"Kinder Morgan, Inc. (KMI)",Energy,24,9.0,10.0,4.0,103085208
216,KLAC,klacorp,KLA Corporation (KLAC),Information Technology,20,7.0,7.0,6.0,297676668
217,KSS,kohlsnews,Kohl's Corporation (KSS),Consumer Discretionary,16,2.0,9.0,5.0,882615036614774786
218,KHC,kraftheinzco,The Kraft Heinz Company (KHC),Consumer Staples,32,12.0,14.0,6.0,114816952
219,LB,l_brands,"L Brands, Inc. (LB)",Consumer Discretionary,16,2.0,7.0,6.0,100516599
220,LH,labcorp,Laboratory Corporation of America Holdings (LH),Health Care,19,1.0,11.0,8.0,57214964
221,LRCX,lamresearch,Lam Research Corporation (LRCX),Information Technology,17,4.0,6.0,6.0,16686919
222,LVS,lasvegassands,Las Vegas Sands Corp. (LVS),Consumer Discretionary,19,2.0,9.0,8.0,278895111
223,LEG,leggettandplatt,"Leggett & Platt, Incorporated (LEG)",Consumer Discretionary,36,11.0,16.0,9.0,54681390
224,LDOS,leidosinc,"Leidos Holdings, Inc. (LDOS)",Information Technology,20,1.0,13.0,7.0,247365368
225,LEN,lennar,Lennar Corporation (LEN),Consumer Discretionary,23,8.0,9.0,6.0,15397465
226,LLY,lillypad,Eli Lilly and Company (LLY),Health Care,34,2.0,20.0,13.0,172496840
227,LNC,lincolnfingroup,Lincoln National Corporation (LNC),Financials,23,2.0,10.0,12.0,48580514
228,LMT,lockheedmartin,Lockheed Martin Corporation (LMT),Industrials,31,7.0,16.0,7.0,42871498
229,L,lcareers,Loews Corporation (L),Financials,16,1.0,4.0,11.0,437742345
230,LOW,lowes,"Lowe's Companies, Inc. (LOW)",Consumer Discretionary,13,4.0,5.0,3.0,19336500
231,LYB,lyondellbasell,LyondellBasell Industries N.V. (LYB),Materials,26,16.0,3.0,7.0,135221263
